[Published: 2024-08-31]
Furqan: PICT ki example, haan, wo ek licence uska khatam hua uska, khatam, company poori khatam ho gayi kyun ke ye licence uth ke Dubai wali company ko chala gaya, aap ki poori... So, never agar koi retail investor sunta hai is baat ko na, always start small. Jis trah hum log dividend pe baat kar rahe the wo beech mein reh gayi thi but dividend is something that gives you confidence to move on the other end of the spectrum, aheste aheste climb up karte hain, climb up kya karte hain? Now start understanding jis company mein aapne lagaya hai, quarterly quarterly aapne director report padhna shuru ki, aapne samajh kiya ke yaar ismein ho kya raha hai company ke andar, kyun ek company hai jiska sales economic growth ke saath upar chali jati hai, kyun ek company hai jo bilkul flattish sales rehti hai wo hilti nahi apni jagah ke upar, kya economic dynamics hain? Ye company mujhe dividend de rahi hai, ye company mujhe dividend nahi de rahi hai but jab ye dividend de rahi hai, consistent hai, lekin jab ache halaat aate hain na to ye wali company aag laga deti hai, ye wali company aise, jo cyclical companies, right? Aag laga deti hai. But kuch companies aisi hain jin ko na economic injection chahiye, na inko boht paisa baantne ki zaroorat... Ye aise sweet spot pe ja ke baithe hain, aisa business model inhone apne aap ke liye create kar liya hai ke now they reinvest, compound wala hissa jo abhi tum keh rahe then, reinvest, make 20%, 30% on their ROIC on their capital and keep reinvesting. You don't want to stop it, you, you agar aap 10% bhi us company ka le lein na, agar market mein available hai, still you should not go to them and say ke sir dividend dena shuru karein.

Abdul Rehman Najam (ARN): Yes, yes.

Furqan: No, no, no, no, no. Let them do it, let them grow their capital as much as they want. The best part is ke poora poora capital koi nahi bacha sakta 30% consistently for the ten years. Aur kisi ne agar aapko 30% consistently ten years ke liye bacha ke de diya na, ye main stock prices ten years ki baat nahi kar raha hoon, abhi future aur buck ki jo hum baat kar rahe the na, consistent nafe mein agar koi 30% aapko kama ke de raha hai na, bhai! Us ko bolo tu ja, tu Bermuda Triangle mein ja, tu business set up karke chala gaya tu chala ja.

Speaker 3: Das saal baad aaja.

Furqan: Kabhi kabhi to mujhe aisi feeling aati hai jab koi achi company aa jati hai na...

Abdul Rehman Najam (ARN): Doosri jo hoti hai, wo hoti hai capital allocation decisions. Ek business hai, pehle aapne dekha ye acha hai. Sahi. Ye generate karta hai capital. Sahi. Phir uske baad uske paas capital aa gaya. Ab agar uske paas koi opportunity hai, usko agar wo lagaye aur wo mazeed grow ho jayega, to wo growth company ban jati hai. Wo usko reinvest karke apna business badha leta hai. Ek point pe aap pahunch jate ho ke ab aap reinvest nahi kar sakte, to aap wo bank mein rakhoge, ya aap koi ulti-seedhi koi aise business mein daal doge jismein loss ho jayega, to phir behtar hota hai ke aap baantne lag jao. Aur yahan pe dividend ke through hota hai, bahar ki duniya mein Apple jaisi company, halaan ke wo matlab ke kitna abhi grow bhi kar rahe hain lekin phir bhi wo buyback kar rahe hote hain. Wo kehte hain jo hamare existing shareholder hain...

Speaker 3: Unki hum worth badha dete hain, right?

Abdul Rehman Najam (ARN): Haan, unki hum percentage badhate rahenge. Aur ye isko example agar explain karna ho na is tarah hota hai jaise char log hain unhone business start kiya, business bada ho gya. Ab priorities badal gayin. Ek banda kehta hai ke nahi yaar main to ab khush hoon, main exit karna chah raha hoon. To wo kehta hai ke yaar poora business jo hai na bech dete hain aur paise baant lete hain. To wo ek tarah se dividend ho gaya ke wo poora bech ke dividend de diya. Lekin doosra banda kehta yaar tum, theek hai, tumhein cash chahiye, main tumhein cash deta hoon, tum apna share mujhe de do. To share buyback kar liya usne uska. To ye jo hai stock market mein bhi ho raha hota hai. Ye ek tarah se capital allocation decision hai. Koi company dividend de rahi hai ya nahi de rahi isse ye matlab nahi hai wo achi hai ya buri hai. Iska matlab hai wo decide kar rahi hai ke main apna capital baant dena hai, abhi mujhe koi achi opportunity nazar nahi aa rahi.

Speaker 3: All right. Sahi. Acha chalo ab mera ek sawal hai tum dono se. As a retail investor jab main ghusa, aur samajh mein aa gayi mujhe, zyada to nahi samajh mein aayi lekin kuch cheezein, to phir maine socha apni journey mein share karta hoon Twitter pe. Retail investor ko mere jaise ya thode aur retail investors jiska 1 million ka, 2 million ka portfolio hai usko rokti hai ke wo stock market mein aaye, kya cheez hai aisi pehli?

Abdul Rehman Najam (ARN): I think do cheezein hain. Ek hai anchor, ek hai volatility. Anchor is tarah se, retail investors boht ache hain maine dekha hai, apna portfolio track karne mein, dividend estimate karne mein, company ka long-term return dekhne mein, lekin wo jahan lag karte hain na wo ye hai ke ek share let's say 100 rupaye ka hai. Theek. Wo jab 70 pe aata hai na, kehte hain undervalued ho gaya.

Speaker 3: Okay.

Abdul Rehman Najam (ARN): Unka jo anchor hai that is the price, wo jispe pehle trade kar raha tha. Halaan ke anchor hota hai the real fair value of the company. Agar us company ki fair value 50 rupaye thi aur wo 100 pe trade kar raha tha aur wo 70 pe aa gaya hai, to its not undervalued, its still overvalued. Ek ye anchor boht important hai aur doosra business developments ko they understand after results.

Speaker 3: Theek.

Abdul Rehman Najam (ARN): Jaise budget mein koi change aa gaya, nahi samajh aata itni jaldi. Jab wo che mahine baad uska result aata hai na, EPS kam ho jata hai, to wo uspe phir sochte hain ke EPS change ho gaya ab main kuch karne ki zaroorat hai. Halaan ke wo agar ek dafa business samajh lo, to jis din notification aayega na policy change ka, aap usi din calculate kar loge. To I feel ke ek linkage to the price, jisko unhone anchor banaya hota hai, ke company overvalued hai, undervalued hai wo past price se jo hai na judge karte hain, aur second ke business ke fundamentals jab change hote hain na usmein wo late ho jate hain.

Speaker 3: Okay.

Abdul Rehman Najam (ARN): To again wohi wo Warren Buffett kehta hai, "What a wise man does at the start, a fool does at the end."

Speaker 3: Oh nice, sahi. Aur?

Abdul Rehman Najam (ARN): To hai to thoda harsh, but jo smart investors hote hain na wo hamesha future ke baare mein soch rahe hote hain ke yaar ye change ho gaya hai to ab mujhe iske baare mein sochna hai. Acha ismein kuch log hote hain wo policy bhi predict kar rahe hote hain.

Speaker 3: Okay.

Abdul Rehman Najam (ARN): Wo kehte hain main future invest kar raha hoon aur main policy bhi predict kar raha hoon. Wo I think wo dangerous hota hai. Aapko wait karna chahiye jis din policy change ho jaye, uska impact aapko samajh aa jaye us din action lena chahiye.

Speaker 3: Theek, to ye do reasons hain.

Abdul Rehman Najam (ARN): Haan, I feel ye idhar abhi bhi retail investors lag karte hain. Baqi koi problem nahi hai, boht ache tareeqe se wo roz price bhi track kar rahe hote hain, reports bhi saari padh rahe hote hain, balki shayad institutional se thoda zyada hi time laga rahe hote hain, kuch jin ko shauk hota hai. Lekin thoda sa na unko apne anchors aur price se detach karne ki zaroorat hai.

Speaker 3: Theek, aur Furqan tumhein kya lagta hai?

Furqan: I think in Pakistan na... because the question was I think... ke kyun abhi bhi nahi kar rahe hain? Is, is that, main sahi, sahi samajh raha hoon?

Speaker 3: Haan, matlab agar unke paas paise aate hain na kisi ke paas do, 20 lakh rupaye aa gaye. Wo bolega yaar ye batao...

Furqan: Sabse pehle na kuch logon ko bolte hain ke yaar aapka sabse pehla hero kaun hota hai aapke ghar ka? Ye philosophical question hai. Aapke abba.

Speaker 3: Abba.

Furqan: Aap larka hota hai...

Speaker 3: Yes, yes, yes.

Furqan: Aap larki bhi boht... ab aapke abba ko jab aapne last 40 saalon mein jab unka poora career ka jo banda tha, kama rahe the, unko ek plot ke baad doosra plot, doosre plot ke baad teesra plot, phir agar jab saari bhai hain, char paanch bhai hain abba ke, to bhi plots ki discussion, ye naya project launch ho raha hai, ye naya project launch ho raha hai. Jab aapka dimaag train ho jata hai na kisi cheez ke liye, to phir ki koi nayi cheez aapko, aap apni jo cheez aapke paas hai na aap usko kabhi bhi us critical nazar se nahi dekhte. Kehte hain na aulaad bigad hi jati hai kyun ke maa-baap us critical nazar se dekh nahi sakte hain usko. Baahar wala dekh sakta hai. Aur baahar wale ki aulaad ko aap boht critical nazar se dekhte ho.

Speaker 3: Sahi.

Furqan: So kehne ka maqsad kya hai ke wo aisa built-in ho gaya hai hamari aaj tak ki generations ke andar ke yaar plot hi sab kuch hai, investment...ARN: Us critical nazar se dekh nahi sakte hain usko, sahi? Bahar wala dekh sakta hai.

Speaker 2: Sahi.

ARN: Aur bahar wale ki aulaad ko aap bahut critical nazar se dekhte ho, sahi?

Speaker 2: Sahi.

ARN: So, kehne ka maqsad kya hai ke woh aisa built-in ho gaya hai hamari aaj tak ki generations ke andar ke yaar plot hi sab kuch hai. Investment ka ek hi naam hai plot, sahi? Beech mein insurance policies bahut tezi se barhi theen ke State Life, State Life yaad hai? "Aye Khuda mere abbu salamat rahein" wo poori jo hai...

Speaker 2: Yeah, I remember that, yes.

ARN: Haan haan. To wo jo hai na wo poori ad thi wo abhi bhi jingle yaad hai logon ko ke "Aye Khuda mere abbu..." to wo beech mein aaya tha, but logon ne plot plot plot plot plot, because usme ek bahut barhi cheez hai jo ke stock market mein isi... tumhare point ko thoda sa ulta kar raha hoon. Wahan pe aapko price pata nahi chalti hai.

Speaker 2: Sahi.

ARN: Bure halaat mein, aapko price pata hi... chahe buyer gayab ho jaye is wajah se pata na chale, ya aap apne dil ki tasalli kehte hain maine 4 crore rupay ki cheez li hai, 4 crore ki hai, main to isse neeche bechunga nahi.

Speaker 2: Ek crore ka agar kisi ne plot liya ho na, aur let's say do mahine baad koi banda aaye us ko 75 lakh ki offer de, to us ko bhaga dega.

Speaker 3: Haan, woh bolega ke bhai...

Speaker 2: Haan, woh bolega ke bhai pagal hai. Is stock market mein agar 100 wala share 75 ka ho jaye na to woh sochta hai yaar kuch ho gaya hai.

Speaker 3: Yes, yes.

Speaker 2: Kuch ho gaya hai. Yeh to bas ab zero ho jayega. Main jaldi se bech deta hoon is se pehle aur nuksaan ho.

Speaker 3: Yes, yes.

Speaker 2: Yeh saari information ki kami hai.

ARN: True, true. To I think the, the, in Pakistani audience na, the problem is number one understanding ki to humne baat kar li. Number two, yaar, woh confidence abhi tak stock market pe ya kisi financial assets pe nahi aaya hai.

Speaker 3: Nahi aaya hai, nahi aaya hai.

ARN: Woh aate aate na... achha, it's not something ke yahan main 10 ghante bhi baith jaoon na podcast pe...

Speaker 3: Sahi.

ARN: main wo nahi samjha sakta.

Speaker 3: Sahi hai.

ARN: Ye tumhein kab samajh mein aaya? Jab tumne pehli baar koi stock khareeda,

Speaker 3: Sahi.

ARN: uska tumhein dividend aaya, tumhein confidence aaya, tumne kaha yaar dividend ke ilaawa bhi cheezein ho sakti hain, business model samajhna hai, wagera wagera.

Speaker 3: Sahi.

ARN: So, I think it's a, it's a journey. Hum India se mujhe lagta hai har cheez mein koi 8 se 10 saal peeche hain. Mujhe lagta hai hum retail investor ke level pe bhi na 8 se 10 saal peeche hain. Mujhe lagta hai ye jo agla paanch saat saal ka period... because jo young banda, jo young bachha mere paas aata hai na, chahe wo mere newsletter ke through aaye, 1 to 1 calls ke through aaye, paise bachhe kama rahe hain. Yes. Ye main compare karoonga abhi Bangladesh se agar mauka laga to ke hum log ki aur hamari awaam mein aur Bangladesh ki awaam mein kya farq hai, achhi cheez bhi buri cheez bhi, but they have decided, ye wo bachha hai, kaun, aaj agar 18, 19, 20, 21, 22, 23 saal ka banda hai na, what was he exposed to on YouTube? He was exposed to compounding. He was exposed to Warren Buffett, Peter Lynch, Mohnish Pabrai. He was exposed to all these people and he... wo pehla sawaal mujhe poochte hain, "Sir, mere abba ne to property mein pata nahi kya laga ke chala..." Ek banda mere paas aaya, mujhe kehta hai, "Mere abba se mujhe bacha lo." Maine kaha, "Tumhare abba se?" Bolta hai, "Main bahar rehta hoon, paise bhejta hoon. Har teesre mahine mere abba mujhe kehte hain beta ye 20 lakh ka plot hai, ye le lete hain. Beta ye gaon ki koi baat, 40 lakh rupay ka plot hai ye le lete hain. Ye 35 lakh ka ye plot hai. Maine unko keh diya hai ke maine kahin aur paise laga diye hain aur monthly laga raha hoon main paise, SIP kar raha hoon stock market ke andar."

Speaker 3: Sahi.

ARN: To matlab ye aahista aahista change hoga because they understand the value of compounding ke yaar ek asset class tab perform kar raha hai jab saari cheezein uske against hain. Property pe to abhi aaya hai na CGT, property pe to abhi, abhi tak paanch saal pehle utha ke dekho property ki real value aur property ki jo tax DC value hoti thi kitna farq hai, aap kareeb aaye hain na ab property ke... Hum to zindagi bhar se kareeb rahe hain bhai, uske baad bhi hum perform karte hain. So, I think the... it's mentality.

Speaker 2: Achha is mein ek, ek aur concept ye bhi hai, jaise ab ye Arshad Nadeem ne gold medal jeeta hai, to jab koi banda successful hota hai na, to saare us ke sath jud jaate hain. Aur jab wo struggle kar raha hota hai, to it becomes an orphan.

ARN: Haan, bilkul aisa hi hai.

Speaker 2: To stock market ke jo pichle paanch-chheh saal guzre the na, after 2017, logon ki memory teen-chaar saal se zyada nahi hoti. Bhool jaate hain log. To ye jo paanch-chheh saal wale bure hain, jo ke aisi cheez nahi hai jo ke pehle nahi hoti. US stock market mein 1929 se le ke 1950, early 50s, flat index, neeche ja ke waapas aaya. 2000 se le ke 2010, lost decade kehte hain usko. Us mein bhi wo gir ke waapas aaya. Pakistan mein bhi hua hai. 2008 mein crash hua tha aur us level tak pohanchte pohanchte koi paanch saal lag gaye. To ye jo bura, bure paanch saal hote hain na, phir wo agle do-teen saal mein, ab jaise teen lakh ho gaye hain retail investor, to jaise jaise success aata hai bahar, to naye log attract hote hain.

ARN: Yeh jo numbers hote hain na, teen lakh, saade teen lakh, chaar lakh, achha ye bahut achha number hai. Growth isi tarah karenge na? Aap India mein kitne number hain, Pakistan mein kitne number hain. But, this is personal thought, right? Sahi? Personal discussions kar rahe hain to. Mujhe bahut darr lagta hai.

Speaker 2: Kis baat se?

ARN: Yaar, mujhe nahi pata hai ke ye jo audience aa rahi hai na, ye recent teezi ko dekh ke aa rahi hai ya ye samajh ke aa rahi hai, matlab samajh ke to koi bhi nahi aata, recent teezi 99%, 99% recent teezi ko dekh ke aa rahi hai. Mujhe pata nahi kyun feeling aati hai ke yaar... tum log mujhe help karo, theek hai? Ke kya, aur tum zyada help karo kyunki tum retail investor ho. Kya wahi hoga jo 2017, 18, 19 ki, 12 se lekar 16 tak ki tezi ke baad jis tarah log bhaage? Yeh waisa hi hoga ke jab market kharab hogi kyunki hamari to economic cycle poori, poori cyclic hai na, everything is. Kya log isi tarah darr ke bhaagenge ya portfolio mein mere abba ki tarah Unicap, Mudaraba reh jayega jo ke Rs. 6 ki cheez thi aur 60 paise mein bhi nahi bik rahi thi, sahi? Woh reh jayega ya portfolio mein aisi cheezein reh jayengi jo ke quarterly dividends de ke ja rahi hongi, jo apne business model ko maintain kar ke rakhengi? You tell me, is baar kya hoga?

Speaker 2: Dekho yaar, maine to utni cycles dekhi nahi hain. Sach baat ye hai. To ye is baat ka jawab de to tum dono hi sakte ho. Balki Abdul Rehman, is mein...

Speaker 3: Understand, yes. 25 saal ke data ko agar paanch-paanch saal mein break down karein na to Pakistan ke boom bust cycles clear nazar aa jaate hain. Sahi? Us mein aapko undervaluation, overvaluation saari nazar aati hai. Sahi? Hum log bilkul undervaluation pe khade hote hain.

ARN: Sahi.

Speaker 3: Aur jitni bhi saari cheezein dekho na, us se aisa lagta hai ke ab agle ke paanch saal bahut achhe honge.

ARN: Okay.

Speaker 3: Sorry, ye... haan, galat hai. Sahi. Main samjhata hoon kaise. Kyunki jab ek cheez bahut undervalued ho jaati hai, us ko halka sa bhi chingari do na, to woh apni real value ki taraf jaati hai. Sahi? Aur jo chaar macro indicators hain, jo ke aap actual data ke sath dekho na, jin ka relation hai stock market ke sath, woh hai interest rate, primary surplus ke budget ke andar aap ne agar interest rate interest cost hata dein, to aap positive ho ke nahi.

ARN: Sahi.

Speaker 3: Phir hai current account deficit.

ARN: Sahi.

Speaker 3: Aur in teeno ko control karta hai IMF. To ye chaaron cheezein jo hain na, abhi positive pe hain. Interest rate ne bhi neeche aana hai, current account deficit woh to ye dividend ki payment kar rahe hain to thoda halka sa negative aa jata hai, actual mein ye surplus mein chal raha hai aaj kal. Primary surplus ke achhe khaase plus 1% se bhi zyada ka target hain.

ARN: Sahi. Sahi.

Speaker 3: To obviously aapko ye saari cheezein track karte rehni karti rehni hoti hain. Political stability bhi is mein aa jaati hai. But agar aap ne stock market mein invest karna hai na, do cheezein aap ne karni hain. Ek aap ne achhe business dhoondne hain, 100 mein se 20-25 achhi companies nikaalni hain. Doosra kaam aap ne ye karna hai ke macro cycle samajhni hai.

ARN: Okay.

Speaker 3: To macro cycle ke jo main indicators hain na, unko track kar ke apni investing ko uske against benchmark karein. Jahan wo negative hon, aap ne bhi apna mind badal lena hai. Aap ne videos to bahut dekh li hain ke stock market wealth compounder hai, ye hai, sab hai...

ARN: Haan.

Speaker 3: Lekin uski volatility ko bhi samajhein. Aur Pakistan ke case pe apply karein. Sahi. To apne andar invest karein, sabse important cheez yahi hai.

Speaker 2: Sahi. To aisa lagta hai aap logon ke ke agar hamari paas stock market ki success stories hoteen, scene change hota?

ARN: Yeh jo last time baat kar rahe the na abhi 30 second pehle, ek minute pehle, wo yahi tha ke abhi mujhe podcast banana hai, sahi? Main kis ke sath banaun yaar? Hamare paas to nahi hai Mohnish Pabrai. Koi bhi nahi hai, hamare paas to nahi hai. Koi bhi nahi hai, hamare paas koi... Ek aur problem hai na, ho bhi nahi sakta. Yahan pe aap baat kaise karenge ke "mera portfolio ka size ye hai"?

Speaker 3: Haan, ye kaali lighton mein jo tum baithe ho...

Speaker 2: Sahi, ye screenshot daalta hai lekin face chhupa ke baitha hai na.

ARN: To, mera... maine jo cheez seekhi na jo mujhe samajh mein aayi, mujhe samajh mein aayi ke hamare paas na un logon ki kami hai jin ko dekh ke log shayad thoda sa hausla pakrein. Maine bola yaar ye jo hai na main shuru karta hoon. Yehi tha Fire Chaser ka start hone ka wo. Aur main chahta to percentage mein number de sakta tha ke "yaar mera portfolio na 10% barh gaya hai is saal, 20% barh gaya hai". Lekin mujhe ek baat samajh mein aa gayi, numbers dene parenge tumhein. Tumhein apni...

Speaker 2: Itni amount change hui hai, is se meri life itni change ho sakti hai.

ARN: Haan, to main jo hai na calculated 20 lakh, 25 lakh, derh crore, is tarah tumhein jaana padega aur yaar farq pada. Abhi tak jab se maine Fire Chaser ka account shuru kiya hai na, mere khayal mein 50 account main khulwa chuka hoon. Too bad ke yahan pe koi commission nahi milta uska. Lekin farq pada hai, log samajhte hain baaton ko. Unko thodi si, aur high net worth individuals nahi hain wo, wo low net worth individuals bhi hain jo apni journey shuru kar rahe hain. To mujhe aisa lagta hai ek kami heroes hone ki hai, doosri kami hai ke hum school ke level pe na financial literacy nahi sikhate.

Speaker 3: 100% this is the, this is what...

Speaker 2: Aur ye duniya mein bhi itna achha to nahi hai na, duniya mein bhi financial literacy itni achhi to nahi padhayi jaati.

ARN: Phir bhi bahut behtar hoti hai kyunki wahan par businesses zyada create hote hain. Pakistan mein jo aapka cycle hai...

Speaker 3: Risk lena sikhaya jata hai ya risk ek society, America America aise hi nahi bana.

ARN: Bilkul, main is pe ab aane wala hoon. Thoda sa main is pe lamba time loonga tum logon ke sath. Bhai, hamare yahan jo cycle hai na bachhe ki, wo unfortunately zero se shuru hoti hai. Zero se kya matlab hai? Agar aapke abbu the, achhe stock market ke wo the, to log jo hai na apne bachhon ko ye nahi batate ke "yaar maine jo kaam kara hai na, tu wahin se shuru karo". Wo bolte hain, "bhai dekh, main to jo banna tha main ban gaya. Ab tu school jayega, school mein apne 10-12 saal lagayega, tu phir uske baad jayega college, tu phir jayega university, aur tu zero se shuru karega". Bahut kam fathers ya parents aise hote hain jo aapne bachhon ko jo unhone apni life mein 30-40 saal mein jo seekha hota hai na, wo deliver kar dete hain. Kyun nahi kar paate? Relation nahi hota. Bahut mushkil se abba aur bete ka relation ban pata hai, warna relation nahi hota, baatein nahi ho paati. Iske peeche ek alag poori philosophy hai ke aisa kyun nahi hota. Lekin wo jo time hai na, hamari yahan jab bachha bada hota hai, usko thoda samajh mein aata hai, wo apni struggle zero se shuru karta hai. Wo...ARN: Mushkil se abba aur bete ka relation ban pata hai, warna relation nahi hota, baatein nahi ho paati. Iske peeche ek alag poori philosophy hai ke aisa kyun nahi hota. Lekin woh jo time hai na, hamare haan jab bacha bada hota hai usko thoda samajh mein aata hai woh apni struggle zero se shuru karta hai. Woh wahan se shuru nahi karta jahan se uske father ne ya koi aur uske ghar mein jisne koi business kiya ho, shuru kiya ho. Ek problem yeh hai. Doosra problem hai, jo mujhe hamesha se raha hai, schooling system. Main uska jo hai na bohot bada jo hai na ek mukhalif hoon. Aapka jo schooling system hai na Pakistan ka, woh creator, create hi nahi kar sakta. Khatam ho gayi baat. Uska reason yeh hai ke aapke bacha jo hota hai na, woh Allah Ta'ala ki zabardast ek creation hoti hai. Bohot zabardast, full of energy, full of creativity, confidence, character uska hota hai. Schools jo hote hain na, woh khatam kar dete hain usko. Woh maar dete hain usko. To bache ke andar self-learning ability ho jati hai zero. Jiske andar self-learning ability zero ho gayi aur jisko yeh pata lag gaya ke yaar main to kuch kar hi nahi sakta. Mujhe to ek teacher ki zaroorat hai har waqt. Mujhe spoon feeding ki zaroorat hai. Confidence us bache ke andar nahi hai. Woh jo hai na kisi bhi level pe kuch create nahi kar sakta. Isi wajah se hamare haan startups jo hain na jitne bhi hain, aap dekhenge jo shaaz-o-nadir honge, kahin na kahin woh bacha bahar se parh ke aaya hoga. Kisi na kisi level pe uski jo education ke andar kuch na kuch part bahar ki education ka hoga. Hamari education...

Speaker 2: Aik cheez, aik cheez maine notice ki, jab main bahar parhne gaya na, University of Warwick mein, to udhar to 20 contact hours per week.

ARN: Yes.

Speaker 2: Aur matlab usme bhi bas aap jao nahi jao koi masala nahi hai.

ARN: Hmm, hmm.

Speaker 2: To main jab bhi, acha chuttiyan bhi 25 hafte.

ARN: Acha?

Speaker 2: Saal mein. 30 weeks hote the, usme se 6 to exam hote the, to 22-23 weeks ke lecture hote the, baki saari chuttiyan. To jab chuttiyon pe aate to jo dost school mein hote the...

ARN: Hmm.

Speaker 2: ...woh phir idhar IBA, even LUMS wale bhi, kehte assignment, assignment, assignment... matlab unki assignment hi khatam nahi ho rahi.

ARN: Haan haan, homework hi...

Speaker 2: Unhe time hi nahi mil raha yeh sochne ka ke bhai kya karna chahiye.

ARN: Haan haan, yeh baat hai, pukaar hai.

Speaker 2: Aur jab main university mein pehle saal gaya na, mujhe pehle saal mein hi feel hua ke there is more to life than education.

ARN: Yes, exactly.

Speaker 2: Yaar, job job apply karne ki skills honi chahiye aapki.

ARN: Haan, main yahi bol raha hoon. Risk lene ki jo capability hai, hamare ustad na ek baat bolte hain ke jo mutala imtihan ki buniyaad pe ho raha hai na, jo mutala aap sirf isliye kar rahe ho ke aapne test dena hai, woh kabhi bhi ilm ke liye dost aapke andar jo hai na, woh dosti paida nahi kar sakta. Yaad rakhna yeh baat aur yeh sach baat hai. Tum agar kisi level pe pahuche ho na, tumhare andar woh fire hogi us cheez ko seekhne ki. Agar woh fire nahi hai and you are just doing it for the sake of, you know, getting more numbers...

Speaker 2: Great, naukri.

ARN: ...it is not going to, yes, naukri. Haan haan.

Speaker 2: Haan, I think, when I think about it, I think its a, its a very... matlab hamare haan jo startup bante hain woh bhi kisi aur tarha se hi bante hain, bust bhi ho jate hain, matlab hamare haan woh mentality hai hi nahi, ek kabhi note kiya hai ke, main naam kisi ka nahi loonga par, ek startup Pakistan ki flagship startup hum log kehte the usko. Woh bust ho gaya. But uska jo founder tha, uske paas Prado bhi aa gayi, uske paas bada bangla bhi aa gaya, to kehne ka maqsad kya hai? I think woh poora yeh poora ek woh hai. Investing bhi uske andar aati hai, career bhi uske andar aata hai, office politics bhi uske andar aati hai ke hum short-termism ke maare hain.

ARN: Yes. Humein sab kuch jaldi chahiye.

Speaker 2: Humein sab kuch jaldi chahiye.

ARN: Jaldi chahiye.

Speaker 2: Humein koi cheez ruk ke nahi karni chahiye, matlab...

ARN: Aur risk bhi nahi lena.

Speaker 2: Aur risk bhi nahi lena hai.

ARN: Acha, aur risk ki risk lene ki jo capability hai na, woh aapki na mar jaati hai because you do not believe in...

Speaker 2: Your mind is not trained in that manner jahan pe aapko lagta hai ke aap kuch nahi, hamare office ka environment hi aisa hota hai jo bacha hota hai usko maar ke rakkha jata hai, usko tabah karke rakkha jata hai ke yaar woh grow na kare, boss ne bola woh theek hai, woh bohot fark hai. But bhai, bacha jo seekh ke aaya hai woh aaj kal ki generation kuch seekh ke aayi hai aur agar bache mein jaan hai to uske paas to sabse bada duniya ka asset kya hai? YouTube.

ARN: Exactly.

Speaker 2: Uske paas maine, maine valuation bohot ki. Main bohot bohot seekha valuation apne kaam mein karke, Excel mein, as an analyst, as a deputy head of research. Jab main sales mein gaya tab bhi. But Aswath Damodaran ka ek poora, har 6 mahine pe woh ek lecture karata hai. YouTube pe free karta hai Aswath Damodaran, theek hai? Woh NYU ka bhi lecture hai uska, agar aapko NYU ki degree chahiye, to aap woh $2,000 do, warna woh free mein available hai, valuation sikhata hai. Maine us bande se jitna seekha na...

ARN: Uski book bhi...

Speaker 2: ...kab? Uski book bhi hai, Little Book of Valuation. Haan, Little Book of Valuation, aur woh Ginzmo model bhi hai iska poora. Kab seekha maine pata hai? Jab main deputy head of research reh ke aage barh chuka tha.

ARN: Sahi. This is, I am being very honest. Sahi.

Speaker 2: I maine seekhne ke baad bola yaar mujhse zyada jahil is duniya mein koi nahi tha. Jab main invest kar, ke sab mehnat kar raha tha na ke kya, kis tarha sikhau, kis tarha sikhau. Us bande ne poora lecture English mein hai, de diya wahan pe. To YouTube aisa aap ko sikhata hai na yaar...

ARN: Haan bhai, bilkul.

Speaker 2: Maine khud 25 saal ki Berkshire kahan dekhi? YouTube pe. Ek din mil gayi 1994 ki, aage aaao main laga li, phir 1995 wali sath aa gayi, chalti gayi chalti gayi. Teen saal mein woh saari ho gayi.

ARN: Free university hai na, in short, YouTube. Lekin problem pata hai kya hai? Agar aap ke bache mein woh self-learning, tumhare andar maujood thi kuch na kuch self-learning ki ability, Abdul Rehman ke andar maujood thi, agar aap ke bache mein mar gayi hai na, woh tab bhi poochega, 'Sir, chaar acche stock bata do.'

Speaker 2: Dunya, to phir uska success hai na, uska duniyawi success jo hai na, woh phir limited hi rahega, chahe woh kuch bhi kar le.

ARN: Exactly.

Speaker 2: Ek ek bacha mere paas, ek larka, bacha to nahi ab kaafi uncle hain, unhone kaha main matric fail hoon. I make 5 million rupees, main kam karke bata raha hoon, 5 million rupees a month.

ARN: Sahi.

Speaker 2: Maine matric kiya hua hai.

ARN: Theek.

Speaker 2: Aur unhone coding seekhi hai, aaj bandon ko bithaya hai, deliver karte hain, English YouTube se sun sun ke seekhi. To woh 50 lakh rupay per month kama rahe hain, woh invest bhi kar rahe hain, kehne ka maqsad kya hai? Agar aap mein fire hai na bhai, fire hai, to aap ko koi aage barhne se rok nahi sakta.

ARN: Fire hai. Rok nahi sakta, bilkul.

Speaker 2: Lekin agar koyla hai na, bujh gayi hai na...

ARN: Haan, ab... to phir tum kuch bhi kar lo, kuch bhi kar lo, kuch nahi ho sakta tumhara. Ab mera problem yahi hai ke woh fire to maar dete hain. Fire to mar jaati hai na woh.

Speaker 2: Haan.

ARN: Agar khuda-na-khwasta aap ke parents supportive the, Allah Ta'ala ne aap ko acche parents de diye jo samajh gaye ke bacha mera jo hai na woh special hai, usne support kar liya aap ko aap ke parents ne, to aap ko job maar degi. Kahin na kahin woh fire mar jayegi lekin...

Speaker 2: Teen char, teen char road blocks hain.

